"","FC=0.8;CR=0","FC=0.8;CR=0.1","FC=0.8;CR=0.2","FC=0.8;CR=0.3","FC=0.8;CR=0.4"
"rmsea",0,0.0337303313461817,0.0706374897500186,0.114762724560868,0.174890630107566
"rmsea.fiml",0.017473721,0.024597108,0.050411841,0.081430768,0.121310959
"rmsea.uncor.fimlc",0.0619380264510115,0.0696945475617601,0.0932206264200707,0.129533007264633,0.180457487406481
"rmsea.cor.obs.nonn_str",0.0188599961117683,0.0266878536365594,0.0619098233134678,0.107122432582751,0.159702882891987
"rmsea.cor.exp.nonn_str",0.0234026887302964,0.0326617439043253,0.0659100867921527,0.103540654287649,0.144432145144774
"rmsea.cor.obs.nonn_unstr",0.0256612674562979,0.0369278796133079,0.072311541782221,0.115760826372477,0.171104995075028
"rmsea.cor.obs_str",0.0242683415478738,0.0344430914450858,0.0697251796615081,0.113846777350977,0.172171209877136
"rmsea.cor.exp_str",0.00536380120435076,0.00978638885535532,0.0677760616459775,0.112902909021849,0.177456529256116
"rmsea.cor.obs_unstr",0.0240445187425553,0.0350939937047127,0.0711229331566926,0.115091281199214,0.170683741755074
"rmsea.fiml1",0.008472137,0.022793039,0.049527787,0.080458375,0.122191495
"rmsea.uncor.fimlc1",0.0354506016743159,0.0495657628538516,0.0788035286800221,0.119120418730978,0.175655294290139
"rmsea.cor.obs.nonn_str1",0.0101324781928937,0.0297596386569442,0.067187300737103,0.110810338678168,0.168167650023631
"rmsea.cor.exp.nonn_str1",0.0112654945496585,0.0316118216693438,0.0681357895236204,0.109391239020349,0.162723773354368
"rmsea.cor.obs.nonn_unstr1",0.0117453432106389,0.0328449616037934,0.0701195259642311,0.113641139914682,0.17201646417921
"rmsea.cor.obs_str1",0.011385431004232,0.0326193684588917,0.0698660095409008,0.113229242619536,0.173058379404118
"rmsea.cor.exp_str1",0.0067593742017161,0.0256091726779761,0.0606641457311715,0.115436904507998,0.17329734931378
"rmsea.cor.obs_unstr1",0.0112236565306922,0.032493872885178,0.0699288516945618,0.113529882613303,0.171946300911296
"rmsea.fiml2",0.005998163,0.023142005,0.049489066,0.081210838,0.123214847
"rmsea.uncor.fimlc2",0.0245632185911647,0.0417208097771208,0.074335253374149,0.117382693224128,0.175085408897669
"rmsea.cor.obs.nonn_str2",0.00743376708510596,0.0316868774086779,0.06861756744462,0.113356560298576,0.171778174488521
"rmsea.cor.exp.nonn_str2",0.00779168480221334,0.0323866427261868,0.0690271064734944,0.112573506700024,0.168773735703283
"rmsea.cor.obs.nonn_unstr2",0.0079332904906466,0.0328799830642942,0.0699364123107615,0.11466714772325,0.173294937529568
"rmsea.cor.obs_str2",0.00783277658434491,0.0328416646972879,0.0699015740014265,0.114484030626732,0.173211057707533
"rmsea.cor.exp_str2",0.00632441552558917,0.0309531100078304,0.0668136701063397,0.114765374914543,0.169165746343784
"rmsea.cor.obs_unstr2",0.00777324383333133,0.0327899981267248,0.069895332740633,0.114639370043522,0.17327580562673
