"","CR=0","CR=0.1","CR=0.2","CR=0.3","CR=0.4","CR=0","CR=0.1","CR=0.2","CR=0.3","CR=0.4"
"cfi",1,0.988040713797009,0.950676356613749,0.882246748755069,0.769406459132515,1,0.988040713797009,0.950676356613749,0.882246748755069,0.769406459132515
"cfi.fiml",0.994324949,0.986108888,0.953789843,0.889859891,0.796751952,0.993308502,0.985980995,0.960453793,0.908404994,0.840562192
"cfi.uncor",0.990900303,0.980727793,0.945566853,0.877458813,0.777019036,0.974343287,0.963705936,0.930707589,0.865637868,0.770858965
"cfi.cor.str",0.995924550262545,0.988688900249905,0.956447215501323,0.889969904418585,0.791197122270535,0.992157722642947,0.985603140419318,0.956614473565512,0.892270239449277,0.79676280464467
"cfi.cor.unstr",0.993898888353039,0.984811259363303,0.949740457678325,0.880891849213404,0.779442030926609,0.989970192696248,0.98118624463214,0.947641213503272,0.879843313165121,0.780914460394037
"cfi.fiml1",0.998014431,0.988909965,0.954272466,0.891224836,0.795690373,0.997941212,0.990452206,0.961079983,0.909691622,0.840925039
"cfi.uncor1",0.996806394,0.98613219,0.948658923,0.880979338,0.775338732,0.991578819,0.980312478,0.943088213,0.876884171,0.773213241
"cfi.cor.str1",0.998249987089873,0.988879807997883,0.952326782768858,0.885414477370269,0.781001200170149,0.997526919852307,0.988781462929647,0.952639985589895,0.886871700909935,0.783894694411574
"cfi.cor.unstr1",0.997922463611734,0.987912712866872,0.95028432116509,0.882329479031374,0.776281605758475,0.997190933847713,0.987492737205683,0.949617459668998,0.882292004531754,0.776990789736583
"cfi.fiml2",0.999096776,0.989201826,0.954769721,0.891818334,0.795857144,0.999055487,0.990731639,0.961845803,0.909853687,0.841500188
"cfi.uncor2",0.998533942,0.987337792,0.950055639,0.882247738,0.774780674,0.996099301,0.984278553,0.947496505,0.879779758,0.773732764
"cfi.cor.str2",0.999127304880363,0.988584243759229,0.951763209841605,0.884350332049851,0.777624982464993,0.998853207892986,0.98842442943462,0.952135087612263,0.884689176443189,0.779152124913263
"cfi.cor.unstr2",0.999050464530894,0.988228686498747,0.950856133291483,0.882911200614628,0.775239524855959,0.998770841798584,0.9878876467758,0.950732531436177,0.882461771641395,0.77558922416606
